client_id,client_description,invoice_number,amount,invoice_date
330368388,E.I. Du Pont de Nemours and Company,36767,344.06,2/4/1998 0:00
239904462,Cisco Systems Inc.,38222,109.02,7/6/1998 0:00
330368388,E.I. Du Pont de Nemours and Company,38252,145,7/16/1998 0:00
414495096,"Dole Food Company, Inc.",41782,1584.21,8/4/1999 0:00
605184616,On Semiconductor Corp,42018,85,10/12/1999 0:00
306505041,Costco Wholesale Corp.,42533,105.09,2/2/2000 0:00
605184616,On Semiconductor Corp,43838,66.27,10/13/2000 0:00
102694461,CDW Computer Centers Inc.,45110,162.89,5/16/2001 0:00
291051913,CMS Energy Corp.,45373,50.19,8/31/2001 0:00
605184616,On Semiconductor Corp,46968,85,7/30/2002 0:00
378542239,Cox Communications Inc.,47322,0,11/30/2002 0:00
324609387,"DST Systems, Inc.",48492,616.2,5/8/2003 0:00
235158895,Grey Global Group Inc.,48578,185,6/13/2003 0:00
324609387,"DST Systems, Inc.",49529,70,1/27/2004 0:00
324609387,"DST Systems, Inc.",50501,175,4/30/2004 0:00
324609387,"DST Systems, Inc.",50571,90,5/28/2004 0:00
378542239,Cox Communications Inc.,51185,2075,12/16/2004 0:00
324609387,"DST Systems, Inc.",51275,45,1/14/2005 0:00
378542239,Cox Communications Inc.,51405,0,1/31/2005 0:00
378542239,Cox Communications Inc.,51639,0,2/28/2005 0:00
378542239,Cox Communications Inc.,51961,0,3/31/2005 0:00
378542239,Cox Communications Inc.,52338,0,4/30/2005 0:00
378542239,Cox Communications Inc.,52434,0,5/31/2005 0:00
378542239,Cox Communications Inc.,52551,0,6/30/2005 0:00
378542239,Cox Communications Inc.,52696,0,7/31/2005 0:00
330368388,E.I. Du Pont de Nemours and Company,52727,476.47,8/9/2005 0:00
378542239,Cox Communications Inc.,52791,0,8/31/2005 0:00
378542239,Cox Communications Inc.,52888,0,9/30/2005 0:00
378542239,Cox Communications Inc.,53048,0,10/31/2005 0:00
567804551,Brunswick Corporation,53348,25,1/30/2006 0:00
324609387,"DST Systems, Inc.",53504,135,2/14/2006 0:00
567804551,Brunswick Corporation,54285,25,4/25/2006 0:00
260664066,CellStar Corp.,54463,125.24,6/16/2006 0:00
324609387,"DST Systems, Inc.",54955,105,11/8/2006 0:00
567804551,Brunswick Corporation,55101,25,1/4/2007 0:00
202122422,CKE Restaurants Inc.,55638,150.09,3/30/2007 0:00
316784547,Dollar General Corporation,55648,1178.99,3/31/2007 0:00
202122422,CKE Restaurants Inc.,55824,3.8,4/13/2007 0:00
567804551,Brunswick Corporation,55934,25,4/24/2007 0:00
202122422,CKE Restaurants Inc.,56015,50,4/30/2007 0:00
202122422,CKE Restaurants Inc.,56235,6.03,5/15/2007 0:00
202122422,CKE Restaurants Inc.,56310,8.34,6/15/2007 0:00
241329118,A.G. Edwards Inc.,56370,0,6/30/2007 0:00
202122422,CKE Restaurants Inc.,56437,3.19,7/23/2007 0:00
241329118,A.G. Edwards Inc.,56462,0,7/31/2007 0:00
